date,stock_name,predict
2021/10/29,PFE,42.74846864050728
2021/11/1,PFE,43.05433375895697
2021/11/2,PFE,43.02796656067486
2021/11/3,PFE,43.3117468109991
2021/11/4,PFE,42.786432841967994
2021/11/5,PFE,42.83831544166969
2021/11/8,PFE,43.529421995853475
2021/11/9,PFE,43.366005548461935
2021/11/10,PFE,45.1921644728561
2021/11/11,PFE,44.80036960932402
2021/11/12,PFE,43.45489612113666
2021/11/15,PFE,48.343360660195856
2021/11/16,PFE,48.43907491253208
2021/11/17,PFE,46.80046770237877
2021/11/18,PFE,48.95342888423469
2021/11/19,PFE,49.78681455483599
2021/11/22,PFE,49.21344420083704
2021/11/23,PFE,49.216589181574534
2021/11/24,PFE,49.0800265615
2021/11/26,PFE,50.16493919377511
2021/11/29,PFE,50.910290905080835
2021/11/30,PFE,50.21391864822365
2021/12/1,PFE,50.58842322878932
2021/12/2,PFE,50.4652931413742
2021/12/3,PFE,50.09164693950671
2021/12/6,PFE,53.309076919958464
2021/12/7,PFE,52.02680464895781
2021/12/8,PFE,52.7948535117299
2021/12/9,PFE,54.37224396756688
2021/12/10,PFE,52.13798823206813
2021/12/13,PFE,53.38374107385736
2021/12/14,PFE,50.83579354498401
2021/12/15,PFE,50.34581480667409
2021/12/16,PFE,50.70979067372308
2021/12/17,PFE,50.93408371224241
2021/10/29,NVDA,229.82200647603696
2021/11/1,NVDA,230.8612256876288
2021/11/2,NVDA,234.42820637185127
2021/11/3,NVDA,249.82490296253695
2021/11/4,NVDA,248.71881274210543
2021/11/5,NVDA,252.26685702391737
2021/11/8,NVDA,259.8145794867062
2021/11/9,NVDA,261.79153719607837
2021/11/10,NVDA,267.5071662194687
2021/11/11,NVDA,270.1217374031882
2021/11/12,NVDA,299.57591802916767
2021/11/15,NVDA,303.1736006433854
2021/11/16,NVDA,310.7141546081417
2021/11/17,NVDA,313.00644254787363
2021/11/18,NVDA,299.65102192834456
2021/11/19,NVDA,307.7469961048965
2021/11/22,NVDA,309.06595639769444
2021/11/23,NVDA,304.2426031561915
2021/11/24,NVDA,306.6770783385251
2021/11/26,NVDA,298.0018485922227
2021/11/29,NVDA,318.82718607475863
2021/11/30,NVDA,334.7521695971764
2021/12/1,NVDA,324.4655010627034
2021/12/2,NVDA,322.6939068375232
2021/12/3,NVDA,331.64947904536876
2021/12/6,NVDA,320.7094281766351
2021/12/7,NVDA,336.33312476837
2021/12/8,NVDA,333.64932862688704
2021/12/9,NVDA,318.8308088878156
2021/12/10,NVDA,326.114672065816
2021/12/13,NVDA,313.1302187608396
2021/12/14,NVDA,304.24793237353686
2021/12/15,NVDA,327.5619408278392
2021/12/16,NVDA,323.90010509978174
2021/12/17,NVDA,309.3999672216142
2021/10/29,TSLA,885.2448650780018
2021/11/1,TSLA,899.3918124561253
2021/11/2,TSLA,1016.6224241777652
2021/11/3,TSLA,1015.6186883538671
2021/11/4,TSLA,1052.6893454180172
2021/11/5,TSLA,1074.0001846513042
2021/11/8,TSLA,1102.4077230378975
2021/11/9,TSLA,1201.1669117375097
2021/11/10,TSLA,1171.3603493991757
2021/11/11,TSLA,1220.2924808698954
2021/11/12,TSLA,1214.2305011024555
2021/11/15,TSLA,1209.4785799054728
2021/11/16,TSLA,1155.194307007864
2021/11/17,TSLA,1010.5960104814203
2021/11/18,TSLA,1033.2005214777637
2021/11/19,TSLA,1010.0257869465247
2021/11/22,TSLA,1014.0971335735387
2021/11/23,TSLA,1003.7165320045099
2021/11/24,TSLA,1031.2965015822874
2021/11/26,TSLA,1065.9914036071887
2021/11/29,TSLA,1089.2447638077097
2021/11/30,TSLA,1133.0169121744268
2021/12/1,TSLA,1146.405196161124
2021/12/2,TSLA,1105.1589641812232
2021/12/3,TSLA,1107.921045567757
2021/12/6,TSLA,1058.5069700029103
2021/12/7,TSLA,1114.411183716184
2021/12/8,TSLA,1122.147581535454
2021/12/9,TSLA,1089.7134513583014
2021/12/10,TSLA,1076.43223383632
2021/12/13,TSLA,991.5633528778606
2021/12/14,TSLA,985.4769843952013
2021/12/15,TSLA,1018.6590551852821
2021/12/16,TSLA,1045.5016190051838
2021/12/17,TSLA,1001.8823603161254
2021/10/29,KO,54.10546565614728
2021/11/1,KO,54.19374880448267
2021/11/2,KO,54.05975567578067
2021/11/3,KO,54.16322896268775
2021/11/4,KO,55.19661559446049
2021/11/5,KO,55.747816772959624
2021/11/8,KO,56.06933737810089
2021/11/9,KO,55.969910278722836
2021/11/10,KO,55.80144440405069
2021/11/11,KO,55.962231491712636
2021/11/12,KO,56.21891681246043
2021/11/15,KO,56.471766111505346
2021/11/16,KO,56.04312554019787
2021/11/17,KO,56.11375903442541
2021/11/18,KO,56.378180033636305
2021/11/19,KO,56.33690864827865
2021/11/22,KO,56.26972122045357
2021/11/23,KO,56.267649013791754
2021/11/24,KO,55.898749003629156
2021/11/26,KO,55.55199550045993
2021/11/29,KO,55.10938472872281
2021/11/30,KO,54.77756890580314
2021/12/1,KO,55.09853092325815
2021/12/2,KO,55.515634719556836
2021/12/3,KO,55.155608370696
2021/12/6,KO,53.59358724346915
2021/12/7,KO,54.18622359466169
2021/12/8,KO,52.434341831561916
2021/12/9,KO,51.82596579556232
2021/12/10,KO,52.9352753494069
2021/12/13,KO,53.170897017512225
2021/12/14,KO,54.5968989148895
2021/12/15,KO,55.09650133902752
2021/12/16,KO,54.80105389890008
2021/12/17,KO,54.71426312171863
2021/10/29,AAPL,150.78178157468022
2021/11/1,AAPL,149.87753270600194
2021/11/2,AAPL,149.71316946404974
