date,stock_name,predict
2021-10-29,AAPL,149.82084798864662
2021-11-01,AAPL,148.96642587123364
2021-11-02,AAPL,150.01201282521018
2021-11-03,AAPL,151.4788666708294
2021-11-04,AAPL,150.96397621034768
2021-11-05,AAPL,151.2775933805163
2021-11-08,AAPL,150.4463435420863
2021-11-09,AAPL,150.8072222908042
2021-11-10,AAPL,147.94183429935723
2021-11-11,AAPL,147.87044560545743
2021-11-12,AAPL,149.97398132709682
2021-11-15,AAPL,149.9998711494104
2021-11-16,AAPL,150.99244056380698
2021-11-17,AAPL,153.47115788889283
2021-11-18,AAPL,157.83682393257695
2021-11-19,AAPL,160.52963446477486
2021-11-22,AAPL,161.01638350857627
2021-11-23,AAPL,161.4070439444715
2021-11-24,AAPL,161.93598589528156
2021-11-26,AAPL,156.8487623808014
2021-11-29,AAPL,160.21420648996724
2021-11-30,AAPL,165.2616686250293
2021-12-01,AAPL,164.77388275779504
2021-12-02,AAPL,163.76764256732756
2021-12-03,AAPL,161.85453472456084
2021-12-06,AAPL,165.2937499294171
2021-12-07,AAPL,171.13560998437703
2021-12-08,AAPL,175.05037417449563
2021-12-09,AAPL,174.56383016543865
2021-12-10,AAPL,179.4130462069963
2021-12-13,AAPL,179.41320261174602
2021-12-14,AAPL,179.4132019497184
2021-12-15,AAPL,179.4132019525206
2021-12-16,AAPL,179.41320195250876
2021-12-17,AAPL,179.4132019525088
2021-12-20,AAPL,179.4132019525088
2021-12-21,AAPL,179.4132019525088
2021-12-22,AAPL,179.4132019525088
2021-12-23,AAPL,179.4132019525088
2021-12-24,AAPL,179.4132019525088
2021-10-29,KO,56.39603402354988
2021-11-01,KO,56.13497072299818
2021-11-02,KO,56.1301576577562
2021-11-03,KO,56.2705235495635
2021-11-04,KO,56.634226894885664
2021-11-05,KO,56.81911359284741
2021-11-08,KO,56.324556798322476
2021-11-09,KO,56.50324051307801
2021-11-10,KO,56.71878637361685
2021-11-11,KO,56.74217002850457
2021-11-12,KO,56.60141292014243
2021-11-15,KO,56.6287526037037
2021-11-16,KO,56.19157482166635
2021-11-17,KO,55.9218074793272
2021-11-18,KO,55.37363540936462
2021-11-19,KO,55.15093862896477
2021-11-22,KO,55.466891190779954
2021-11-23,KO,55.90350379825283
2021-11-24,KO,55.38489759905993
2021-11-26,KO,53.68828566962938
2021-11-29,KO,54.66262003296112
2021-11-30,KO,52.26402923062258
2021-12-01,KO,52.47121718576216
2021-12-02,KO,52.94398178856304
2021-12-03,KO,53.68462394586778
2021-12-06,KO,54.83956114557077
2021-12-07,KO,55.29270282086212
2021-12-08,KO,54.91001235832886
2021-12-09,KO,54.939476556758756
2021-12-10,KO,56.27467008193201
2021-12-13,KO,56.27952467385684
2021-12-14,KO,56.27510218838119
2021-12-15,KO,56.27913102913345
2021-12-16,KO,56.275460794850844
2021-12-17,KO,56.27880434216819
2021-12-20,KO,56.27575840346169
2021-12-21,KO,56.278533223652104
2021-12-22,KO,56.27600538976211
2021-12-23,KO,56.278308221562696
2021-12-24,KO,56.2762103644516
2021-10-29,NVDA,255.05270660206008
2021-11-01,NVDA,257.9794981581829
2021-11-02,NVDA,263.45329162145464
2021-11-03,NVDA,265.7528857603939
2021-11-04,NVDA,295.01342403382665
2021-11-05,NVDA,297.3291411310076
2021-11-08,NVDA,307.04663050267027
2021-11-09,NVDA,306.6283381786047
2021-11-10,NVDA,295.70869304098227
2021-11-11,NVDA,303.1224604415108
2021-11-12,NVDA,303.83864989623135
2021-11-15,NVDA,300.58459561733514
2021-11-16,NVDA,301.8908641140601
2021-11-17,NVDA,293.47503292761064
2021-11-18,NVDA,314.57332004362274
2021-11-19,NVDA,328.4600249863129
2021-11-22,NVDA,320.4072655640472
2021-11-23,NVDA,317.72212939754775
2021-11-24,NVDA,325.8976673849766
2021-11-26,NVDA,316.0525274505224
2021-11-29,NVDA,332.09886415946403
2021-11-30,NVDA,327.2799257145511
2021-12-01,NVDA,315.5451078009944
2021-12-02,NVDA,320.7116946670621
2021-12-03,NVDA,308.21936972314404
2021-12-06,NVDA,301.08177595090257
2021-12-07,NVDA,322.10353795855536
2021-12-08,NVDA,318.6479911286841
2021-12-09,NVDA,306.17303418417134
2021-12-10,NVDA,302.35199566857597
2021-12-13,NVDA,302.34675053918323
2021-12-14,NVDA,302.3468244975602
2021-12-15,NVDA,302.34682345471816
2021-12-16,NVDA,302.34682346942265
2021-12-17,NVDA,302.3468234692153
2021-12-20,NVDA,302.3468234692182
2021-12-21,NVDA,302.3468234692181
2021-12-22,NVDA,302.3468234692181
2021-12-23,NVDA,302.3468234692181
2021-12-24,NVDA,302.3468234692181
2021-10-29,PFE,43.68296088737518
2021-11-01,PFE,43.65376118452457
2021-11-02,PFE,45.260022933994
2021-11-03,PFE,44.89687106567725
2021-11-04,PFE,43.94692090350561
2021-11-05,PFE,48.10686633723254
2021-11-08,PFE,48.38846306046837
2021-11-09,PFE,47.40426143844672
2021-11-10,PFE,48.834177199724486
2021-11-11,PFE,50.069540952452634
2021-11-12,PFE,49.783443229277715
2021-11-15,PFE,49.65526210538006
2021-11-16,PFE,49.60491913160697
2021-11-17,PFE,50.73697428949614
2021-11-18,PFE,51.36127882142554
2021-11-19,PFE,50.86658284193611
2021-11-22,PFE,51.15432949571962
2021-11-23,PFE,51.095194390212804
2021-11-24,PFE,50.90897632753296
2021-11-26,PFE,53.67384480371192
2021-11-29,PFE,52.58615819289825
2021-11-30,PFE,53.58018777128567
2021-12-01,PFE,54.58940030903735
2021-12-02,PFE,53.216669255737514
