date,stock_name,predict
2021/10/29,AAPL,151.8147688
2021/11/1,AAPL,151.0498551
2021/11/2,AAPL,152.0981142
2021/11/3,AAPL,152.1664928
2021/11/4,AAPL,151.5563718
2021/11/5,AAPL,151.495191
2021/11/8,AAPL,150.8482332
2021/11/9,AAPL,151.5899179
2021/11/10,AAPL,149.5293298
2021/11/11,AAPL,148.5817067
2021/11/12,AAPL,149.4600392
2021/11/15,AAPL,148.9687921
2021/11/16,AAPL,151.0000514
2021/11/17,AAPL,151.1124737
2021/11/18,AAPL,154.7816689
2021/11/19,AAPL,160.1773341
2021/11/22,AAPL,160.7684821
2021/11/23,AAPL,160.9221162
2021/11/24,AAPL,160.5492801
2021/11/26,AAPL,157.3584195
2021/11/29,AAPL,159.4521981
2021/11/30,AAPL,161.9645129
2021/12/1,AAPL,162.1209416
2021/12/2,AAPL,160.8222839
2021/12/3,AAPL,159.6882342
2021/12/6,AAPL,164.4500698
2021/12/7,AAPL,167.3517836
2021/12/8,AAPL,170.8664736
2021/12/9,AAPL,168.5192418
2021/12/10,AAPL,174.7472168
2021/10/29,KO,56.13218538
2021/11/1,KO,56.22597769
2021/11/2,KO,56.2874701
2021/11/3,KO,56.32575177
2021/11/4,KO,56.76575886
2021/11/5,KO,56.62100111
2021/11/8,KO,56.48273513
2021/11/9,KO,56.72937092
2021/11/10,KO,56.83644405
2021/11/11,KO,57.07555525
2021/11/12,KO,56.47752182
2021/11/15,KO,56.73181422
2021/11/16,KO,56.50890895
2021/11/17,KO,56.40640401
2021/11/18,KO,56.524225
2021/11/19,KO,55.06305354
2021/11/22,KO,55.71514554
2021/11/23,KO,55.76211089
2021/11/24,KO,55.7414186
2021/11/26,KO,54.56012701
2021/11/29,KO,54.11204567
2021/11/30,KO,52.89862083
2021/12/1,KO,52.86312311
2021/12/2,KO,53.55353167
2021/12/3,KO,54.0634367
2021/12/6,KO,54.24020135
2021/12/7,KO,54.84996422
2021/12/8,KO,54.35279503
2021/12/9,KO,54.73057997
2021/12/10,KO,55.75089355
2021/10/29,PFE,43.56108368
2021/11/1,PFE,43.29420945
2021/11/2,PFE,44.98715623
2021/11/3,PFE,44.03516404
2021/11/4,PFE,44.01782385
2021/11/5,PFE,47.02086726
2021/11/8,PFE,46.43401526
2021/11/9,PFE,46.54417185
2021/11/10,PFE,47.29008397
2021/11/11,PFE,47.99175585
2021/11/12,PFE,49.88015267
2021/11/15,PFE,49.83212565
2021/11/16,PFE,49.52852737
2021/11/17,PFE,51.54394887
2021/11/18,PFE,51.3598789
2021/11/19,PFE,50.92687491
2021/11/22,PFE,51.3054643
2021/11/23,PFE,50.99206119
2021/11/24,PFE,51.74462206
2021/11/26,PFE,53.23334038
2021/11/29,PFE,52.83214731
2021/11/30,PFE,53.94701611
2021/12/1,PFE,54.44089593
2021/12/2,PFE,53.9482019
2021/12/3,PFE,54.48661988
2021/12/6,PFE,52.10608068
2021/12/7,PFE,52.90343764
2021/12/8,PFE,52.03238986
2021/12/9,PFE,53.17724471
2021/12/10,PFE,53.5186892
2021/10/29,NVDA,255.4712424
2021/11/1,NVDA,253.4063868
2021/11/2,NVDA,259.1973968
2021/11/3,NVDA,260.0136075
2021/11/4,NVDA,282.3996791
2021/11/5,NVDA,298.8620975
2021/11/8,NVDA,302.0756476
2021/11/9,NVDA,306.5692579
2021/11/10,NVDA,292.0873657
2021/11/11,NVDA,306.0663017
2021/11/12,NVDA,304.7882648
2021/11/15,NVDA,302.6660666
2021/11/16,NVDA,303.905895
2021/11/17,NVDA,293.6824492
2021/11/18,NVDA,316.3216332
2021/11/19,NVDA,327.2795293
2021/11/22,NVDA,320.1901947
2021/11/23,NVDA,318.206987
2021/11/24,NVDA,321.789847
2021/11/26,NVDA,318.0145551
2021/11/29,NVDA,329.8483791
2021/11/30,NVDA,323.4146177
2021/12/1,NVDA,316.8942846
2021/12/2,NVDA,317.4724561
2021/12/3,NVDA,314.8585424
2021/12/6,NVDA,303.0342733
2021/12/7,NVDA,321.5634938
2021/12/8,NVDA,316.5764822
2021/12/9,NVDA,304.6656227
2021/12/10,NVDA,309.2682029
2021/10/29,TSLA,1102.111626
2021/11/1,TSLA,1177.392656
2021/11/2,TSLA,1135.089626
2021/11/3,TSLA,1173.402894
2021/11/4,TSLA,1149.012137
2021/11/5,TSLA,1215.316815
2021/11/8,TSLA,1198.7763
2021/11/9,TSLA,1067.115138
2021/11/10,TSLA,1108.308705
2021/11/11,TSLA,1116.634227
2021/11/12,TSLA,1033.58153
2021/11/15,TSLA,1025.911488
2021/11/16,TSLA,1064.581695
2021/11/17,TSLA,1084.087052
2021/11/18,TSLA,1074.786532
2021/11/19,TSLA,1113.291131
2021/11/22,TSLA,1138.925535
2021/11/23,TSLA,1112.729309
2021/11/24,TSLA,1115.50533
2021/11/26,TSLA,1080.441197
2021/11/29,TSLA,1113.967133
2021/11/30,TSLA,1118.800702
2021/12/1,TSLA,1100.881451
2021/12/2,TSLA,1087.85965
2021/12/3,TSLA,1040.542942
2021/12/6,TSLA,1003.031061
2021/12/7,TSLA,1037.34968
2021/12/8,TSLA,1061.001982
2021/12/9,TSLA,1011.116127
2021/12/10,TSLA,1019.621621
